Rounding_Decimals,Recall@100,Recall@1000
12,0.01833,0.21217
11,0.01833,0.21217
10,0.01833,0.21217
9,0.01833,0.21217
8,0.01833,0.21217
7,0.01833,0.21217
6,0.01833,0.21217
5,0.01833,0.21217
4,0.01833,0.21217
3,0.01833,0.21217
2,0.01833,0.21217
1,0.025,0.22772
0,0.02178,0.21533
