Rounding_Decimals,Recall@100,Recall@1000
12,0.02178,0.21533
11,0.02178,0.21533
10,0.02178,0.21533
9,0.02178,0.21533
8,0.02178,0.21533
7,0.02178,0.21533
6,0.02178,0.21533
5,0.02178,0.21533
4,0.02178,0.21533
3,0.02178,0.212
2,0.02178,0.21533
1,0.02011,0.21267
0,0.02222,0.2165
