Rounding_Decimals,Recall@100,Recall@1000
12,4e-05,0.00364
11,4e-05,0.00364
10,4e-05,0.00364
9,4e-05,0.00364
8,4e-05,0.00364
7,4e-05,0.00409
6,0.00011,0.0043
5,0.00024,0.00425
4,0.00051,0.00424
3,0.00027,0.00389
2,4e-05,0.00389
1,0.00019,0.00323
0,0.00031,0.00408
