Rounding_Decimals,Recall@100,Recall@1000
12,0.00038,0.00185
11,0.00038,0.00185
10,0.00038,0.00185
9,0.00038,0.00185
8,0.00038,0.00185
7,0.00038,0.00185
6,0.00038,0.00185
5,0.00028,0.00193
4,0.00033,0.00174
3,0.00028,0.00206
2,0.00038,0.00202
1,0.00013,0.00147
0,5e-05,0.00184
