Rounding_Decimals,Recall@100,Recall@1000
12,0.001,0.00979
11,0.001,0.00979
10,0.001,0.00979
9,0.001,0.00979
8,0.001,0.00979
7,0.001,0.00979
6,0.001,0.00979
5,0.001,0.00979
4,0.001,0.00979
3,0.001,0.00979
2,0.001,0.00979
1,0.001,0.01021
0,0.00045,0.00986
