Rounding_Decimals,Recall@100,Recall@1000
12,0.00364,0.01851
11,0.00364,0.01851
10,0.00364,0.01851
9,0.00364,0.01851
8,0.00364,0.01801
7,0.00364,0.01701
6,0.00331,0.01801
5,0.00264,0.01801
4,0.00314,0.01801
3,0.00264,0.01701
2,0.00231,0.01701
1,0.0026,0.01713
0,0.00157,0.02375
