rounding_type,rounding_p,diff,round_corpus,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000,P@1,P@3,P@5,P@10,P@100,P@1000
round,15,0.06666666666666667,True,0.7982,0.84199,0.85776,0.87211,0.88549,0.88663,0.69275,0.80207,0.82053,0.83243,0.83923,0.8394,0.69275,0.86184,0.90687,0.94814,0.99429,0.99979,0.7982,0.36917,0.24276,0.1334,0.01529,0.00157
round,15,0.06666666666666667,False,0.8021,0.84401,0.86068,0.87441,0.88766,0.88875,0.69632,0.80445,0.82364,0.83523,0.84201,0.84218,0.69632,0.8622,0.90925,0.94907,0.9946,0.99981,0.8021,0.36943,0.2435,0.13356,0.01529,0.00157
round,20,0.049999999999999996,True,0.8031,0.8429,0.86026,0.87425,0.88742,0.88854,0.69675,0.80389,0.82341,0.83502,0.84182,0.84198,0.69675,0.86012,0.90864,0.94928,0.99434,0.99981,0.8031,0.36857,0.24336,0.13354,0.0153,0.00157
round,20,0.049999999999999996,False,0.8037,0.844,0.86092,0.87503,0.88798,0.88908,0.69704,0.80471,0.824,0.83574,0.84245,0.84261,0.69704,0.86162,0.90919,0.95019,0.9945,0.99981,0.8037,0.3692,0.24354,0.13371,0.0153,0.00157
guass,1,1.0,True,0.0002,0.00023,0.00022,0.00026,0.00095,0.00346,0.0002,0.00021,0.00021,0.00023,0.00031,0.00036,0.0002,0.00022,0.00022,0.00033,0.00404,0.02435,0.0002,0.0001,6e-05,5e-05,5e-05,3e-05
guass,1,1.0,False,0.1652,0.21306,0.23476,0.26114,0.31914,0.34927,0.14299,0.19169,0.2055,0.21758,0.23004,0.23127,0.14299,0.24422,0.29699,0.37425,0.63312,0.8529,0.1652,0.10033,0.07488,0.04885,0.00902,0.00127
guass,2,0.5,True,0.0556,0.06917,0.07774,0.08915,0.12999,0.16611,0.04451,0.05944,0.0644,0.06907,0.07607,0.07727,0.04451,0.07893,0.10033,0.13451,0.32797,0.60178,0.0556,0.03397,0.02624,0.01808,0.00461,0.00088
guass,2,0.5,False,0.6952,0.75135,0.7722,0.79188,0.81453,0.81739,0.6041,0.70866,0.72815,0.74147,0.75002,0.75031,0.6041,0.78279,0.83811,0.89516,0.98026,0.99634,0.6952,0.33113,0.22086,0.12341,0.01487,0.00156
guass,3,0.33333333333333337,True,0.3925,0.46825,0.49854,0.53141,0.58473,0.59517,0.33638,0.42509,0.4459,0.46234,0.47615,0.47683,0.33638,0.51839,0.59403,0.69021,0.91431,0.98138,0.3925,0.21503,0.1524,0.09216,0.01345,0.00152
guass,3,0.33333333333333337,False,0.7652,0.81061,0.82951,0.84599,0.86189,0.86359,0.66322,0.76998,0.78965,0.80208,0.80919,0.8094,0.66322,0.834,0.88557,0.93336,0.98986,0.99866,0.7652,0.35487,0.23546,0.13011,0.01514,0.00156
guass,4,0.25,True,0.6173,0.68822,0.71481,0.74129,0.76884,0.77208,0.53504,0.64189,0.66378,0.67981,0.6896,0.68992,0.53504,0.73044,0.79907,0.87551,0.97946,0.99769,0.6173,0.30677,0.2085,0.1196,0.01483,0.00156
guass,4,0.25,False,0.7828,0.82812,0.8458,0.85972,0.87468,0.87604,0.6791,0.78736,0.80662,0.81805,0.82521,0.82539,0.6791,0.84979,0.8992,0.94024,0.99242,0.99941,0.7828,0.36337,0.24024,0.13156,0.01523,0.00156
guass,5,0.19999999999999998,True,0.7022,0.76723,0.78948,0.80855,0.82815,0.83017,0.60861,0.72164,0.74237,0.75586,0.76406,0.76431,0.60861,0.80296,0.86187,0.91754,0.98844,0.99914,0.7022,0.34013,0.22802,0.12713,0.01509,0.00156
guass,5,0.19999999999999998,False,0.7898,0.83195,0.84944,0.86423,0.8786,0.8798,0.68418,0.79206,0.81128,0.82315,0.83016,0.83032,0.68418,0.85153,0.90064,0.94357,0.99356,0.9995,0.7898,0.3641,0.24048,0.13226,0.01526,0.00157
