Rounding_Decimals,Recall@100,Recall@1000
12,0.00021,0.00402
11,0.00021,0.00402
10,0.00021,0.00402
9,0.00021,0.00402
8,0.00021,0.00402
7,0.00021,0.00402
6,0.00021,0.00402
5,0.00021,0.00402
4,0.00021,0.00402
3,0.00021,0.00402
2,0.00021,0.00402
1,0.00021,0.00422
0,4e-05,0.00364
