Rounding_Decimals,Recall@100,Recall@1000
12,0.00125,0.01481
11,0.00125,0.01481
10,0.00125,0.01481
9,0.00125,0.01481
8,0.00125,0.01481
7,0.00125,0.01481
6,0.00125,0.01481
5,0.00125,0.01481
4,0.00125,0.01481
3,0.00175,0.01481
2,0.00125,0.01481
1,0.00125,0.01346
0,0.00364,0.01851
