Rounding_Decimals,Recall@100,Recall@1000
12,0.00023,0.00193
11,0.00023,0.00193
10,0.00023,0.00193
9,0.00023,0.00193
8,0.00023,0.00193
7,0.00023,0.00193
6,0.00023,0.00193
5,0.00023,0.00193
4,0.00023,0.00193
3,0.00023,0.00193
2,0.00023,0.00193
1,0.00023,0.00184
0,0.00038,0.00185
